transaction_id,project_id,freelancer_id,amount,currency,payment_date,payment_method,platform_fee_pct,status,is_disputed
TX0000001,PR000638,FL00229,7983.0,USD,2024-02-23,Bank Transfer,16.08,failed,1
TX0000002,PR000135,FL00248,1540.0,USD,2023-05-25,Payoneer,17.23,success,1
TX0000003,PR000370,FL00141,2473.0,,2024-03-15,Wise,20.48,success,0
TX0000004,PR000776,FL00153,538317.0,GBP,2024-08-14,Stripe,13.25,success,0
TX0000005,PR000266,FL00199,1015.0,INR,2021-05-29,Stripe,9.07,success,1
TX0000006,PR000768,FL00466,1868.0,USD,,PayPal,11.53,success,0
TX0000007,PR000287,FL00451,,USD,2022-11-10,Payoneer,5.86,success,1
TX0000008,PR001153,FL00053,7634.0,INR,2022-10-22,PayPal,18.4,success,0
TX0000009,PR000062,,2054.0,USD,2023-06-11,Payoneer,8.55,pending,0
TX0000010,PR000959,FL00236,1836.0,GBP,2023-07-28,PayPal,10.64,refunded,0
TX0000011,PR000404,FL00436,-7200.0,GBP,2024-11-04,Bank Transfer,,failed,0
TX0000012,PR000515,FL00386,3039.0,PKR,2024-07-18,Payoneer,9.48,refunded,1
TX0000013,PR000212,FL00271,3499.0,EUR,2024-06-24,Wise,13.63,success,0
TX0000014,PR001103,FL00215,2556.0,GBP,2020-09-12,STRIPE,8.67,success,1
TX0000015,PR000620,FL00373,1448.0,usd,2022-05-09,Bank Transfer,12.91,pending,0
TX0000016,PR000294,FL00205,5857.0,INR,2022-05-02,Bank Transfer,16.59,success,1
TX0000017,PR000089,FL00062,-3191.0,USD,2022-05-26,Crypto,19.4,success,1
TX0000018,PR000740,FL00340,5152.0,EUR,2020-07-31,Wise,15.18,success,0
TX0000019,PR000815,FL00086,4755.0,BDT,2023-07-29,Crypto,9.48,success,1
TX0000020,PR000670,FL00267,1218.0,BDT,2020-05-28,Stripe,19.59,success,0
TX0000021,PR000435,FL00141,1563.0,PKR,2021-09-05,Payoneer,17.96,failed,1
TX0000022,PR000012,FL00365,-5850.0,BDT,,PayPal,19.67,success,0
TX0000023,PR000983,FL00374,4603.0,EUR,2022-01-10,Payoneer,6.62,success,0
TX0000024,PR000899,FL00411,6031.0,PKR,2022-09-26,Bank Transfer,,success,0
TX0000025,PR000745,FL00378,,USD,2020-01-04,PayPal,13.76,success,1
TX0000026,PR000939,FL00326,768.0,BDT,2021-07-19,Wise,6.12,success,0
TX0000027,PR001007,,6363.0,GBP,2020-08-06,Stripe,17.07,refunded,1
TX0000028,PR000528,FL00067,3187.0,gbp,2023-01-02,Crypto,18.35,success,1
TX0000029,PR000643,FL00097,2401.0,USD,2021-04-23,PayPal,14.41,pending,1
TX0000030,PR000592,FL00491,4526.0,USD,2022-06-28,PayPal,15.0,pending,1
TX0000031,PR001100,FL00356,4591.0,inr,2024-12-21,Bank Transfer,17.93,success,1
TX0000032,PR000379,FL00056,3961.0,USD,2022-09-06,Bank Transfer,14.35,pending,1
TX0000033,,FL00064,4844.0,USD,2023-06-06,PAYPAL,,refunded,0
TX0000034,PR001163,FL00487,,GBP,2020-01-01,Stripe,19.18,failed,1
TX0000035,PR000389,FL00134,5589.0,USD,2023-09-24,PayPal,20.29,failed,0
TX0000036,PR001046,FL00114,948287.0,USD,2021-07-16,BANK TRANSFER,11.55,refunded,0
TX0000037,PR000333,FL00070,7958.0,INR,2022-05-10,PayPal,9.25,success,1
TX0000038,PR001090,FL00479,5909.0,GBP,2024-11-24,Bank Transfer,18.55,success,0
TX0000039,,FL00045,,PKR,2022-01-21,Bank Transfer,6.47,success,0
TX0000040,PR000167,FL00364,2653.0,INR,2024-03-02,PayPal,9.79,success,1
TX0000041,PR001120,FL00448,3704.0,INR,2024-12-27,Wise,9.12,failed,0
TX0000042,PR000879,FL00409,1911.0,EUR,2021-06-19,Payoneer,6.07,success,1
TX0000043,PR000486,FL00168,7290.0,USD,2023-09-04,Payoneer,5.23,failed,1
TX0000044,PR000070,FL00260,1615.0,GBP,2023-10-08,Payoneer,12.94,success,1
TX0000045,PR000654,FL00293,664.0,GBP,2023-03-03,Payoneer,5.87,pending,0
TX0000046,PR000654,FL00434,3671.0,usd,2024-02-05,PayPal,18.08,pending,0
TX0000047,PR000751,FL00206,-729.0,EUR,2021-09-02,Crypto,9.14,pending,0
TX0000048,PR000198,FL00044,6107.0,USD,2021-02-10,Payoneer,6.39,failed,1
TX0000049,PR001117,FL00069,659.0,USD,2023-06-09,Payoneer,13.67,refunded,1
TX0000050,PR000328,FL00049,7107.0,USD,2023-01-06,Crypto,14.91,success,0
TX0000051,PR000657,FL00302,5408.0,GBP,2021-01-28,Stripe,8.82,success,0
TX0000052,PR001196,FL00286,4940.0,USD,2024-03-04,Crypto,16.1,failed,0
TX0000053,PR001051,FL00192,6682.0,GBP,2023-07-11,STRIPE,18.1,success,0
TX0000054,PR000401,FL00407,-6298.0,bdt,,Wise,10.88,pending,0
TX0000055,PR000773,FL00411,7501.0,PKR,2020-08-13,Crypto,15.04,refunded,1
TX0000056,PR000630,FL00236,1332.0,USD,2024-05-18,Stripe,8.75,success,0
TX0000057,PR000483,FL00144,7922.0,USD,2020-10-11,,15.93,success,0
TX0000058,PR000464,FL00176,819.0,USD,2020-02-19,Crypto,9.81,success,1
TX0000059,PR001008,FL00371,554249.0,INR,2020-12-20,Stripe,17.03,pending,1
TX0000060,PR000169,FL00355,5613.0,USD,2024-03-12,PayPal,18.44,success,0
TX0000061,PR000054,FL00142,3225.0,INR,2023-08-13,Crypto,14.76,success,1
TX0000062,PR000018,FL00492,5421.0,USD,2024-11-16,PayPal,16.17,success,0
TX0000063,PR000848,FL00004,4765.0,EUR,2020-10-26,Wise,6.16,refunded,0
TX0000064,PR000188,FL00414,3646.0,PKR,2024-06-11,CRYPTO,14.03,pending,0
TX0000065,PR000477,FL00429,5330.0,usd,2024-02-17,Wise,13.87,pending,1
TX0000066,PR000773,,484.0,GBP,2024-09-06,Crypto,,pending,0
TX0000067,PR000305,FL00438,1458.0,INR,2022-02-02,Payoneer,10.52,pending,0
TX0000068,PR000257,FL00225,6454.0,USD,2022-02-11,Bank Transfer,14.1,refunded,1
TX0000069,PR000945,FL00257,3347.0,USD,2021-06-22,Stripe,14.12,success,1
TX0000070,PR000745,FL00243,3622.0,PKR,2022-08-05,Stripe,13.43,pending,0
TX0000071,PR000470,FL00034,514.0,INR,2021-04-13,Stripe,17.77,pending,0
TX0000072,PR000474,FL00343,414.0,USD,2023-05-21,PayPal,17.67,success,0
TX0000073,PR000747,FL00444,2509.0,USD,2023-06-10,Payoneer,20.26,success,1
