project_id,freelancer_id,client_id,category,budget_usd,status,start_date,deadline,duration_days,bids_received,remote,project_complexity
PR000001,FL00400,CL00825,Data Science,828,completed,2021-12-21,2022-03-16,48,12,No,High
PR000002,FL00225,CL00318,Marketing,1480,completed,2020-02-02,2020-02-23,24,42,1,Medium
PR000003,FL00273,CL00818,Marketing,3255,completed,,2024-06-06,,14,false,Medium
PR000004,FL00226,CL00859,Design,2531,completed,2020-02-12,2020-06-07,100,45,0,High
PR000005,FL00187,CL00848,Design,3025,completed,2023-11-20,2023-12-14,81,38,0,high
PR000006,FL00500,CL00472,DevOps,1934,in_progress,2021-07-05,2021-09-23,89,45,0,Low
PR000007,FL00142,CL00783,AI/ML,325,disputed,2023-05-09,2023-07-17,131,9,0,Low
PR000008,FL00028,CL00166,Marketing,681,cancelled,2020-05-10,2020-07-23,31,6,Yes,low
PR000009,FL00243,CL00441,Data Science,1599,completed,2021-09-29,2021-11-20,25,1,True,medium
PR000010,FL00192,CL00029,Mobile App,4434,completed,2020-01-10,2020-02-27,89,43,0,medium
PR000011,FL00226,CL00910,Data Science,3746,completed,2023-06-28,2023-07-09,26,38,0,low
PR000012,FL00281,CL00375,Video,1053,disputed,2023-02-09,2023-02-24,169,37,False,high
PR000013,FL00467,CL00206,DevOps,4457,cancelled,2022-03-18,2022-06-29,126,35,Yes,High
PR000014,FL00403,CL00315,Writing,551,cancelled,,TBD,78,22,True,high
PR000015,FL00379,CL00933,DevOps,1560,cancelled,2022-01-29,2022-05-03,,24,False,
PR000016,FL00124,CL00160,Marketing,3294,completed,2022-01-31,2022-05-25,53,41,1,low
PR000017,,CL00710,Video,1652,in_progress,2021-06-03,2021-08-25,126,34,1,high
PR000018,FL00356,CL00123,Video,2446,completed,2023-03-13,,123,,Yes,Medium
PR000019,FL00356,CL00788,Mobile App,3138,in_progress,2024-02-21,2024-03-17,88,16,0,low
PR000020,FL00330,CL00643,Web Development,1354,completed,2022-11-01,2022-11-16,37,20,False,low
PR000021,FL00009,CL00701,AI/ML,2735,completed,2020-03-19,2020-04-13,145,1,No,medium
PR000022,FL00145,CL00652,AI/ML,2046,disputed,2022-10-01,2022-12-25,100,10,True,low
PR000023,FL00074,CL00362,Web Development,4535,completed,2022-04-03,2022-04-26,171,33,false,high
PR000024,FL00100,CL00660,AI/ML,3895,cancelled,2024-04-13,2024-07-30,,13,true,high
PR000025,FL00265,CL00684,Video,3728,completed,2023-11-22,2023-12-25,82,8,No,High
PR000026,FL00391,CL00022,,389,disputed,2020-07-17,2020-11-01,55,4,0,medium
PR000027,FL00229,CL00164,SEO,1535,completed,2021-09-13,2021-10-02,72,15,true,low
PR000028,FL00021,CL00601,Data Science,3973,in_progress,2022-09-03,2022-10-01,146,21,0,Low
PR000029,FL00320,CL00329,Writing,1324,completed,2023-10-01,2023-11-02,44,16,1,medium
PR000030,FL00013,CL00270,SEO,1467,completed,2023-08-22,2023-09-28,34,,True,High
PR000031,FL00464,CL00344,SEO,394,disputed,2023-10-08,2023-11-18,50,17,No,high
PR000032,FL00342,CL00249,Marketing,1029,completed,2020-09-20,TBD,4,21,False,Medium
PR000033,FL00495,CL00722,SEO,2810,disputed,2020-08-04,2020-10-28,,5,false,low
PR000034,FL00363,CL00886,SEO,1624,in_progress,2021-08-12,2021-11-20,49,44,false,Medium
PR000035,FL00388,CL00293,Design,4952,,2023-05-16,2023-07-14,42,4,True,medium
PR000036,FL00221,CL00603,Mobile App,3753,completed,2024-03-04,2024-06-05,92,30,1,low
PR000037,FL00382,CL00902,Design,1497,completed,2023-11-15,2024-01-06,99,1,0,low
PR000038,FL00324,CL00969,Data Science,214,in_progress,,2023-10-16,141,12,No,low
PR000039,FL00437,CL00723,Data Science,589,completed,2020-08-05,TBD,79,21,Yes,medium
PR000040,FL00067,CL00485,DevOps,3158,disputed,2020-09-19,2020-11-12,122,35,0,high
PR000041,FL00066,CL00833,Marketing,4788,COMPLETED,2023-12-21,2024-03-12,21,29,1,Low
PR000042,FL00399,CL00061,Design,,disputed,2020-10-20,2020-12-12,125,38,false,high
PR000043,FL00473,CL00537,AI/ML,2521,disputed,,2020-08-13,,41,False,High
PR000044,FL00466,CL00322,Data Science,3229,cancelled,2020-11-17,2021-02-08,,20,0,Medium
PR000045,FL00369,CL00628,Video,3657$,disputed,2021-10-25,2021-12-21,34,4,False,medium
PR000046,FL00366,CL00769,Design,3051,completed,2021-11-23,2021-12-10,54,7,1,Medium
PR000047,FL00331,CL00225,DevOps,387066,disputed,2021-04-06,2021-06-13,131,,Yes,medium
PR000048,FL00103,CL00083,AI/ML,170327,cancelled,2022-10-03,2022-10-10,73,23,true,Medium
PR000049,FL00132,CL00030,Marketing,2232,in_progress,2020-09-01,2020-11-30,53,36,1,high
PR000050,FL00454,CL00581,AI/ML,3056,,2020-04-21,2020-07-19,100,29,true,low
PR000051,FL00306,CL00874,,,,2023-06-16,2023-07-06,,13,Yes,high
PR000052,FL00039,CL00310,Writing,283,completed,2024-04-26,2024-05-07,8,30,False,Low
PR000053,FL00234,CL00065,AI/ML,2337,,2020-02-16,2020-05-22,4,2,1,high
PR000054,FL00246,CL00707,Design,299$,disputed,2021-07-10,2021-11-05,60,3,False,medium
PR000055,FL00421,CL00150,SEO,3157,disputed,2022-01-30,2022-05-09,173,31,Yes,High
PR000056,FL00045,CL00772,AI/ML,1227,completed,2022-01-04,2022-04-03,162,10,true,Medium
PR000057,FL00203,CL00590,,1016,cancelled,2023-01-19,2023-01-31,96,25,Yes,Medium
PR000058,FL00384,CL00855,Video,971,completed,2023-08-04,2023-11-01,178,15,1,Medium
PR000059,FL00050,CL00795,Design,66304,completed,2020-09-04,TBD,153,24,1,low
PR000060,FL00471,CL00512,SEO,4960$,completed,2023-10-22,2023-12-30,159,43,True,
PR000061,FL00250,CL00733,Mobile App,4554,completed,2020-06-18,2020-07-26,116,26,true,medium
PR000062,FL00400,CL00714,Web Development,3740,completed,2022-10-25,2022-11-24,116,,0,low
PR000063,FL00080,CL00827,Mobile App,4083,completed,2020-01-12,2020-03-08,114,7,true,Medium
PR000064,FL00485,CL00022,AI/ML,3688,in_progress,,2022-05-08,18,16,0,low
PR000065,FL00471,CL00192,Design,1226,completed,2020-02-19,2020-03-17,106,2,true,High
PR000066,FL00360,CL00273,Video,81454$,cancelled,2020-01-25,2020-02-15,122,13,Yes,medium
PR000067,FL00278,CL00490,Mobile App,1140,cancelled,2020-10-24,2021-02-18,68,27,0,
PR000068,FL00344,CL00810,Marketing,1940,disputed,2020-09-17,2020-11-24,,4,true,
PR000069,FL00143,CL00316,Video,2897,completed,2023-01-01,2023-03-26,154,36,0,Low
PR000070,FL00500,CL00896,Marketing,615,completed,2023-07-12,2023-08-22,86,26,Yes,high
PR000071,FL00394,CL00371,AI/ML,1240,disputed,2021-08-27,2021-09-27,64,40,true,high
PR000072,FL00192,CL00261,Design,2317,cancelled,,2022-10-12,127,35,1,medium
PR000073,FL00102,CL00448,Writing,3603,disputed,2022-09-29,2022-12-21,141,8,Yes,
PR000074,FL00339,CL00441,AI/ML,1012,completed,2023-07-02,,150,14,Yes,Medium
PR000075,FL00009,CL00417,Data Science,2309,in_progress,2020-09-12,2020-10-01,149,24,false,Low
PR000076,,CL00784,SEO,3249,cancelled,2024-03-17,2024-05-11,114,23,False,medium
PR000077,FL00350,CL00281,Video,3409,completed,,2021-05-08,179,45,Yes,medium
PR000078,FL00196,CL00235,Web Development,3748,in_progress,2020-07-02,2020-09-02,51,24,false,Low
PR000079,FL00082,CL00262,Mobile App,4628,completed,2021-05-27,2021-06-13,60,39,true,High
PR000080,FL00483,CL00069,Video,2035,completed,2021-02-04,2021-04-29,137,15,0,Medium
PR000081,FL00263,CL00160,Web Development,565,in_progress,2020-10-03,2020-10-31,64,38,False,low
PR000082,FL00148,CL00744,SEO,4113,disputed,2024-03-24,2024-05-20,65,26,No,Medium
PR000083,FL00106,CL00392,Mobile App,3110,,2020-08-24,2020-11-16,152,8,1,low
PR000084,FL00009,CL00381,Design,2171,in_progress,2022-03-28,2022-06-02,14,24,Yes,Low
PR000085,FL00182,CL00318,DevOps,431,in_progress,2020-05-18,TBD,56,,Yes,High
PR000086,FL00236,CL00127,Marketing,2434,completed,2020-04-14,2020-08-01,40,24,No,high
PR000087,FL00137,CL00226,Data Science,1708,completed,2023-06-17,2023-08-12,141,,False,Medium
PR000088,FL00136,CL00082,SEO,1894,in_progress,2020-12-05,2021-03-08,141,21,0,medium
PR000089,FL00350,CL00023,AI/ML,2385,cancelled,2024-05-12,2024-06-19,66,9,false,Medium
PR000090,FL00079,CL00581,Mobile App,4243,completed,2022-04-25,2022-08-05,112,27,No,Low
PR000091,FL00190,CL00441,Mobile App,4085,in_progress,2022-03-22,2022-06-12,22,0,Yes,low
PR000092,FL00479,CL00864,Data Science,117,in_progress,,2021-01-09,10,5,True,Medium
PR000093,FL00460,CL00857,Video,4117,completed,2021-07-01,2021-09-21,25,14,True,low
PR000094,FL00341,CL00723,Data Science,3806,completed,2022-11-08,2022-12-24,,3,False,Medium
PR000095,FL00230,CL00594,Data Science,701,completed,2024-04-26,2024-06-14,54,,true,low
PR000096,FL00034,CL00475,Web Development,497253,completed,2022-03-08,2022-04-07,81,36,true,Low
PR000097,FL00085,CL00246,Writing,4088,completed,,TBD,93,39,True,Low
PR000098,FL00423,CL00762,DevOps,1310,completed,2023-10-25,2024-01-24,11,37,No,Low
PR000099,FL00010,CL00624,Video,614,in_progress,2022-05-04,2022-07-09,172,16,True,medium
PR000100,FL00114,CL00281,SEO,118,IN_PROGRESS,2020-04-07,2020-04-23,154,31,false,medium
PR000101,FL00148,CL00672,Mobile App,3286,cancelled,,2024-03-15,67,18,Yes,Medium
PR000102,FL00105,CL00071,Data Science,2465,completed,2023-01-15,2023-04-20,70,7,0,Low
PR000103,FL00428,CL00086,DevOps,1100,in_progress,2023-09-30,TBD,159,5,true,Medium
PR000104,FL00268,CL00775,DevOps,2978,completed,2021-11-27,2022-03-23,179,14,No,medium
PR000105,FL00199,CL00585,Marketing,1731,completed,2020-03-15,2020-05-18,22,6,False,medium
PR000106,,CL00856,DevOps,2891,completed,2023-07-03,2023-10-21,36,24,1,High
PR000107,FL00039,CL00027,DevOps,4181,completed,2024-02-21,2024-04-06,25,21,False,Medium
PR000108,FL00299,CL00935,Mobile App,2365,completed,2024-04-06,2024-06-22,104,2,Yes,Low
PR000109,FL00138,CL00044,Web Development,872,cancelled,2020-01-09,2020-01-29,44,36,False,high
PR000110,FL00241,CL00522,Design,1137,completed,2024-02-20,2024-06-11,,13,Yes,Medium
PR000111,FL00150,CL00632,Marketing,4939,in_progress,2023-03-30,2023-05-12,65,36,False,high
PR000112,FL00365,CL00405,Web Development,2147,disputed,2020-04-05,,28,28,False,High
PR000113,FL00211,CL00150,Video,2353,in_progress,2023-09-20,2023-10-22,,29,True,high
PR000114,FL00149,CL00788,,2452,completed,2021-08-03,2021-09-14,71,24,No,Medium
PR000115,FL00069,CL00957,Web Development,4080,in_progress,2021-03-24,2021-06-09,,36,False,Medium
PR000116,FL00130,CL00944,Design,4654,,2023-03-22,2023-07-09,,12,1,high
PR000117,FL00129,CL00099,Writing,3392,disputed,2023-05-17,2023-08-04,127,,False,Low
PR000118,FL00071,CL00757,Design,459,completed,2022-08-14,2022-10-12,,37,1,high
PR000119,FL00231,CL00811,Design,2039,cancelled,2020-08-31,2020-09-18,2,31,false,low
PR000120,FL00052,CL00358,Mobile App,1978,cancelled,2021-07-22,2021-07-29,50,10,True,high
PR000121,FL00424,CL00634,Design,2516,in_progress,2020-05-05,2020-08-04,40,10,True,Medium
PR000122,FL00273,CL00075,Data Science,3543,completed,2020-06-22,2020-10-04,152,37,No,Medium
PR000123,FL00305,CL00814,DevOps,1866,in_progress,2022-05-20,2022-06-18,138,5,False,high
PR000124,FL00028,CL00666,Design,4470,completed,2023-02-21,2023-04-30,131,34,false,medium
PR000125,FL00174,CL00183,DevOps,2227,completed,2021-11-11,2022-01-27,114,40,0,low
PR000126,FL00142,CL00708,,,completed,2024-05-16,2024-05-26,49,6,0,Low
PR000127,FL00384,CL00814,AI/ML,128525,completed,2021-10-02,2021-11-26,123,33,False,Medium
PR000128,FL00391,CL00446,Writing,447$,completed,2022-02-16,2022-04-24,133,9,False,Medium
PR000129,FL00409,CL00842,Writing,2734,completed,2023-09-16,2023-09-29,155,35,0,Low
PR000130,FL00399,CL00126,DevOps,628,completed,2021-07-02,2021-10-19,165,30,false,medium
PR000131,FL00368,CL00068,Design,625,in_progress,2021-07-02,2021-08-09,77,15,true,High
PR000132,FL00433,CL00895,DevOps,952,completed,2024-05-12,2024-06-20,11,14,0,High
PR000133,FL00096,CL00422,Writing,290,disputed,2020-06-22,TBD,58,23,true,High
PR000134,,CL00704,Data Science,604,disputed,2023-11-10,2023-12-30,135,20,False,low
PR000135,FL00414,CL00478,Data Science,837,completed,2023-12-27,2024-03-19,56,41,false,Low
