review_id,project_id,reviewer_id,rating,review_text,review_date,helpful_votes,verified_purchase
RV000001,PR000724,CL00958,1,Communication was poor.,2023-05-14,22,0
RV000002,PR001112,CL00112,,Not as described in the proposal.,2022-03-18,26,false
RV000003,PR000533,CL00458,4,Would hire again without hesitation.,2020-11-10,24,false
RV000004,PR000606,CL00240,3,Communication was poor.,2021-10-10,26,False
RV000005,PR001183,CL00954,2,Quality was below expectations.,2021-04-16,39,true
RV000005,PR001183,CL00954,2,Quality was below expectations.,2021-04-16,39,true
RV000006,PR000448,CL00511,2,Missed the deadline significantly.,2023-07-01,10,true
RV000006,PR000448,CL00511,2,Missed the deadline significantly.,2023-07-01,10,true
RV000007,PR000008,CL00640,2,Not as described in the proposal.,2024-08-18,38,true
RV000008,,CL00546,4,Would hire again without hesitation.,2022-07-14,35,true
RV000009,PR000475,CL00662,3,Had to redo parts of the work.,2021-07-25,32,0
RV000010,PR000742,CL00627,2,Communication was poor.,2021-01-18,46,false
RV000011,PR000892,CL00491,5,Excellent communication throughout.,2022-03-18,40,False
RV000012,PR000562,CL00835,4,Would hire again without hesitation.,2022-06-27,35,1
RV000013,PR000765,CL00192,5,,2021-08-27,3,True
RV000014,PR000719,CL00564,4,,2021-09-15,4,true
RV000015,PR000379,CL00481,2,Not as described in the proposal.,2024-02-07,3,false
RV000016,PR000415,CL00968,2,Not as described in the proposal.,2024-06-01,1,False
RV000017,PR000246,CL00501,1,Had to redo parts of the work.,2023-05-12,35,0
RV000018,PR000390,CL00955,4,Outstanding quality and fast turnaround.,2021-10-20,46,false
RV000019,PR000844,CL00511,9,Excellent communication throughout.,2024-02-07,50,True
RV000020,PR000599,CL00722,3,Not as described in the proposal.,2024-02-16,46,0
RV000021,PR000168,CL00187,9,Excellent communication throughout.,2023-11-06,33,true
RV000022,PR000033,CL00360,3,Had to redo parts of the work.,2024-03-05,13,0
RV000023,PR000906,CL00901,3,Not as described in the proposal.,2023-07-09,2,0
RV000024,PR000015,CL00564,3,Had to redo parts of the work.,2024-09-14,40,false
RV000025,PR000760,CL00025,9,"Great work, highly recommend!",2024-07-27,26,True
RV000026,PR001096,CL00461,4,Delivered on time and exceeded expectations.,2023-06-27,33,False
RV000027,PR001141,CL00743,1,Quality was below expectations.,2022-01-13,30,false
RV000028,PR001160,CL00035,10,Would hire again without hesitation.,2022-07-02,27,1
RV000029,PR000868,CL00345,2,,2023-06-03,30,true
RV000030,PR000920,CL00004,3,Had to redo parts of the work.,2022-01-17,42,True
RV000031,PR000367,CL00515,5,,2024-01-25,20,1
RV000032,PR000433,CL00804,5,Would hire again without hesitation.,,18,True
RV000033,PR000176,CL00782,4,Very professional and skilled.,2024-07-15,33,false
RV000034,PR000235,CL00448,3,Missed the deadline significantly.,2023-12-12,28,true
RV000035,PR000085,CL00035,3,Quality was below expectations.,2022-04-19,,1
RV000036,PR000077,CL00316,4,Outstanding quality and fast turnaround.,2022-02-26,44,0
RV000037,PR000084,CL00217,2,Had to redo parts of the work.,2024-11-01,10,true
RV000038,PR000200,CL00358,5,Excellent communication throughout.,2024-07-04,42,true
RV000039,PR000834,CL00789,,,2024-03-06,37,0
RV000040,PR000560,CL00755,5,Excellent communication throughout.,2024-09-05,0,false
RV000041,PR000897,CL00216,5,Would hire again without hesitation.,2023-03-26,7,false
RV000042,PR001149,CL00559,1,Quality was below expectations.,2021-09-14,,false
RV000043,PR000535,CL00238,4,Delivered on time and exceeded expectations.,2021-04-11,8,1
RV000044,PR000809,CL00908,2,Not as described in the proposal.,2024-10-29,31,True
RV000045,PR001156,CL00478,5,"Great work, highly recommend!",2024-10-22,49,false
RV000046,PR000569,CL00789,1,Had to redo parts of the work.,2021-11-25,16,True
RV000047,PR000881,CL00758,3,Had to redo parts of the work.,2024-03-29,18,true
RV000048,PR001175,CL00838,1,,2021-08-23,31,False
RV000048,PR001175,CL00838,1,,2021-08-23,31,False
RV000049,PR000388,CL00402,2,Communication was poor.,2022-11-27,30,True
RV000050,PR000996,CL00866,1,Quality was below expectations.,2022-02-27,7,False
RV000051,PR000667,CL00147,4,Delivered on time and exceeded expectations.,2020-11-24,13,True
RV000052,PR000738,CL00280,1,Communication was poor.,2023-08-23,30,true
RV000053,PR001109,CL00663,1,Missed the deadline significantly.,2023-04-12,30,false
RV000054,PR000629,CL00501,7,Delivered on time and exceeded expectations.,2024-02-05,30,False
RV000055,PR000839,CL00299,4,Would hire again without hesitation.,2024-06-16,7,true
RV000056,PR001101,CL00703,4,Excellent communication throughout.,2024-08-20,12,False
RV000057,PR000710,CL00850,4,Very professional and skilled.,2021-04-18,45,True
RV000058,PR000677,CL00215,4,,2022-11-17,7,0
RV000059,PR000220,CL00310,,Outstanding quality and fast turnaround.,2020-07-01,12,0
RV000060,PR000197,CL00554,1,Had to redo parts of the work.,2022-08-25,3,1
RV000061,PR001083,CL00978,5,Excellent communication throughout.,2024-01-11,42,1
RV000062,PR000194,CL00881,2,Missed the deadline significantly.,2021-11-15,49,1
RV000063,PR000376,CL00407,,Outstanding quality and fast turnaround.,2022-05-25,9,false
RV000064,PR000270,CL00564,3,Had to redo parts of the work.,2021-01-01,6,False
RV000065,PR000852,CL00080,1,Not as described in the proposal.,2023-05-21,31,True
RV000066,PR001073,CL00363,5,Would hire again without hesitation.,2023-11-05,,1
RV000067,PR001132,CL00690,4,"Great work, highly recommend!",2023-07-17,14,False
RV000068,PR000929,CL00019,3,,2024-08-24,,True
RV000069,,CL00182,1,Had to redo parts of the work.,2023-02-13,20,false
RV000070,PR001095,CL00173,5,Excellent communication throughout.,2021-05-18,9,False
RV000071,PR001178,CL00039,2,Quality was below expectations.,2024-09-26,18,true
RV000072,PR000175,CL00615,4,"Great work, highly recommend!",2024-10-30,40,1
RV000073,PR000553,CL00614,2,Communication was poor.,2022-08-28,40,0
RV000073,PR000553,CL00614,2,Communication was poor.,2022-08-28,40,0
RV000074,PR000689,CL00014,5,Very professional and skilled.,2023-03-07,39,0
RV000075,PR000909,CL00813,1,Not as described in the proposal.,2023-12-13,0,False
RV000076,PR000768,CL00119,,"Great work, highly recommend!",2022-10-10,39,False
RV000077,PR000015,CL00829,4,,2021-05-07,4,0
RV000078,PR000792,CL00097,2,Quality was below expectations.,2021-09-17,0,True
RV000079,PR000248,CL00944,5,,2022-01-26,38,1
RV000080,PR001135,CL00776,1,Had to redo parts of the work.,2020-06-12,14,False
RV000081,PR000463,CL00443,3,Missed the deadline significantly.,2020-11-26,1,False
RV000082,PR001080,CL00056,4,Very professional and skilled.,,18,False
RV000083,PR000913,CL00594,,Had to redo parts of the work.,2020-11-14,9,false
RV000084,PR001011,CL00125,3,Not as described in the proposal.,2021-05-01,33,0
RV000085,PR001135,CL00325,1,Missed the deadline significantly.,2023-02-03,46,False
RV000086,PR001026,CL00451,3,Quality was below expectations.,2022-02-16,47,0
RV000087,PR001175,CL00612,1,Communication was poor.,2024-03-29,34,0
