transaction_id,project_id,freelancer_id,amount,currency,payment_date,payment_method,platform_fee_pct,status,is_disputed
TX0000001,PR000638,FL00229,7983,USD,2024-02-23,Bank Transfer,16.08,failed,1
TX0000002,PR000135,FL00248,1540,USD,2023-05-25,Payoneer,17.23,success,True
TX0000003,PR000370,FL00141,2473,,2024-03-15,Wise,20.48,success,0
TX0000004,PR000776,FL00153,538317,GBP,2024-08-14,Stripe,13.25,success,False
TX0000005,PR000266,FL00199,1015,INR,2021-05-29,Stripe,9.07,success,1
TX0000006,PR000768,FL00466,1868,USD,,PayPal,11.53,success,false
TX0000007,PR000287,FL00451,,USD,2022-11-10,Payoneer,5.86,success,True
TX0000008,PR001153,FL00053,7634,INR,2022-10-22,PayPal,18.4,success,0
TX0000009,PR000062,,2054,USD,2023-06-11,Payoneer,8.55,pending,False
TX0000010,PR000959,FL00236,1836,GBP,2023-07-28,PayPal,10.64,refunded,False
TX0000011,PR000404,FL00436,-7200,GBP,2024-11-04,Bank Transfer,,failed,false
TX0000012,PR000515,FL00386,3039,PKR,2024-07-18,Payoneer,9.48,refunded,True
TX0000013,PR000212,FL00271,3499,EUR,2024-06-24,Wise,13.63,success,False
TX0000014,PR001103,FL00215,2556,GBP,2020-09-12,STRIPE,8.67,success,True
TX0000015,PR000620,FL00373,1448,usd,2022-05-09,Bank Transfer,12.91,pending,false
TX0000016,PR000294,FL00205,5857,INR,2022-05-02,Bank Transfer,16.59,success,true
TX0000017,PR000089,FL00062,-3191,USD,2022-05-26,Crypto,19.4,success,true
TX0000018,PR000740,FL00340,5152,EUR,2020-07-31,Wise,15.18,success,0
TX0000019,PR000815,FL00086,4755,BDT,2023-07-29,Crypto,9.48,success,True
TX0000020,PR000670,FL00267,1218,BDT,2020-05-28,Stripe,19.59,success,0
TX0000021,PR000435,FL00141,1563,PKR,2021-09-05,Payoneer,17.96,failed,true
TX0000022,PR000012,FL00365,-5850,BDT,,PayPal,19.67,success,False
TX0000023,PR000983,FL00374,4603,EUR,2022-01-10,Payoneer,6.62,success,false
TX0000024,PR000899,FL00411,6031,PKR,2022-09-26,Bank Transfer,,success,False
